==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-145: [W=15, H=4, L=3]
Item-Item3D-146: [W=81, H=44, L=92]
Item-Item3D-147: [W=35, H=37, L=6]
Item-Item3D-148: [W=89, H=14, L=70]
Item-Item3D-149: [W=72, H=76, L=80]
Item-Item3D-150: [W=55, H=95, L=85]
Item-Item3D-151: [W=51, H=50, L=72]
Item-Item3D-152: [W=6, H=97, L=96]
Item-Item3D-153: [W=27, H=86, L=88]
Item-Item3D-154: [W=5, H=95, L=66]
Item-Item3D-155: [W=9, H=75, L=66]
Item-Item3D-156: [W=97, H=81, L=50]
Item-Item3D-157: [W=92, H=94, L=43]
Item-Item3D-158: [W=67, H=11, L=79]
Item-Item3D-159: [W=57, H=55, L=68]
Item-Item3D-160: [W=98, H=60, L=67]
Item-Item3D-161: [W=78, H=81, L=86]
Item-Item3D-162: [W=79, H=95, L=87]
Item-Item3D-163: [W=37, H=93, L=78]
Item-Item3D-164: [W=63, H=64, L=56]
Item-Item3D-165: [W=59, H=75, L=76]
Item-Item3D-166: [W=91, H=53, L=90]
Item-Item3D-167: [W=97, H=69, L=8]
Item-Item3D-168: [W=87, H=69, L=39]
Item-Item3D-169: [W=98, H=15, L=69]
Item-Item3D-170: [W=91, H=55, L=70]
Item-Item3D-171: [W=66, H=80, L=98]
Item-Item3D-172: [W=42, H=89, L=80]
Item-Item3D-173: [W=73, H=82, L=48]
Item-Item3D-174: [W=89, H=75, L=93]
Item-Item3D-175: [W=66, H=69, L=51]
Item-Item3D-176: [W=39, H=97, L=96]
Item-Item3D-177: [W=61, H=56, L=65]
Item-Item3D-178: [W=94, H=75, L=67]
Item-Item3D-179: [W=32, H=76, L=77]
Item-Item3D-180: [W=99, H=93, L=65]
Item-Item3D-181: [W=96, H=72, L=63]
Item-Item3D-182: [W=89, H=94, L=71]
Item-Item3D-183: [W=1, H=82, L=91]
Item-Item3D-184: [W=72, H=57, L=93]
Item-Item3D-185: [W=93, H=90, L=22]
Item-Item3D-186: [W=96, H=94, L=89]
Item-Item3D-187: [W=79, H=66, L=58]
Item-Item3D-188: [W=63, H=82, L=67]
Item-Item3D-189: [W=70, H=35, L=70]
Item-Item3D-190: [W=77, H=77, L=51]
Item-Item3D-191: [W=69, H=93, L=81]
Item-Item3D-192: [W=44, H=24, L=11]
Item-Item3D-193: [W=100, H=98, L=21]
Item-Item3D-194: [W=58, H=95, L=56]
Item-Item3D-195: [W=85, H=68, L=26]
Item-Item3D-196: [W=89, H=82, L=2]
Item-Item3D-197: [W=78, H=66, L=56]
Item-Item3D-198: [W=92, H=92, L=54]
Item-Item3D-199: [W=98, H=82, L=67]
Item-Item3D-200: [W=79, H=86, L=91]

Test 4 (Type 4, n=200)
Item-Item3D-1: [W=52, H=55, L=65]
Item-Item3D-2: [W=8, H=35, L=8]
Item-Item3D-3: [W=53, H=67, L=58]
Item-Item3D-4: [W=77, H=11, L=81]
Item-Item3D-5: [W=68, H=16, L=73]
Item-Item3D-6: [W=48, H=93, L=90]
Item-Item3D-7: [W=97, H=29, L=90]
Item-Item3D-8: [W=43, H=88, L=69]
Item-Item3D-9: [W=92, H=65, L=63]
Item-Item3D-10: [W=58, H=52, L=89]
Item-Item3D-11: [W=56, H=87, L=86]
Item-Item3D-12: [W=53, H=90, L=69]
Item-Item3D-13: [W=26, H=96, L=96]
Item-Item3D-14: [W=47, H=80, L=73]
Item-Item3D-15: [W=12, H=38, L=12]
Item-Item3D-16: [W=96, H=19, L=69]
Item-Item3D-17: [W=53, H=63, L=68]
Item-Item3D-18: [W=88, H=80, L=83]
Item-Item3D-19: [W=50, H=99, L=90]
Item-Item3D-20: [W=54, H=83, L=57]
Item-Item3D-21: [W=95, H=51, L=58]
Item-Item3D-22: [W=94, H=97, L=75]
Item-Item3D-23: [W=74, H=90, L=36]
Item-Item3D-24: [W=52, H=98, L=95]
Item-Item3D-25: [W=33, H=15, L=29]
Item-Item3D-26: [W=87, H=36, L=96]
Item-Item3D-27: [W=98, H=44, L=76]
Item-Item3D-28: [W=93, H=55, L=80]
Item-Item3D-29: [W=40, H=18, L=31]
Item-Item3D-30: [W=71, H=90, L=18]
Item-Item3D-31: [W=66, H=88, L=90]
Item-Item3D-32: [W=55, H=65, L=91]
Item-Item3D-33: [W=93, H=86, L=15]
Item-Item3D-34: [W=77, H=89, L=95]
Item-Item3D-35: [W=71, H=99, L=96]
Item-Item3D-36: [W=56, H=79, L=62]
Item-Item3D-37: [W=58, H=91, L=97]
Item-Item3D-38: [W=36, H=98, L=92]
Item-Item3D-39: [W=90, H=73, L=68]
Item-Item3D-40: [W=70, H=96, L=3]
Item-Item3D-41: [W=94, H=44, L=73]
Item-Item3D-42: [W=74, H=52, L=74]
Item-Item3D-43: [W=19, H=81, L=87]
Item-Item3D-44: [W=96, H=57, L=77]
Item-Item3D-45: [W=24, H=96, L=80]
Item-Item3D-46: [W=55, H=63, L=76]
Item-Item3D-47: [W=90, H=58, L=82]
Item-Item3D-48: [W=82, H=73, L=96]
Item-Item3D-49: [W=99, H=85, L=52]
Item-Item3D-50: [W=31, H=23, L=43]
Item-Item3D-51: [W=84, H=55, L=86]
Item-Item3D-52: [W=73, H=36, L=96]
Item-Item3D-53: [W=88, H=66, L=83]
Item-Item3D-54: [W=89, H=95, L=66]
Item-Item3D-55: [W=85, H=78, L=18]
Item-Item3D-56: [W=84, H=50, L=91]
Item-Item3D-57: [W=77, H=58, L=60]
Item-Item3D-58: [W=91, H=24, L=71]
Item-Item3D-59: [W=87, H=81, L=76]
Item-Item3D-60: [W=93, H=93, L=79]
Item-Item3D-61: [W=81, H=69, L=96]
Item-Item3D-62: [W=34, H=78, L=78]
Item-Item3D-63: [W=5, H=48, L=41]
Item-Item3D-64: [W=95, H=58, L=53]
Item-Item3D-65: [W=68, H=91, L=59]
Item-Item3D-66: [W=15, H=75, L=91]
Item-Item3D-67: [W=72, H=79, L=58]
Item-Item3D-68: [W=51, H=71, L=52]
Item-Item3D-69: [W=59, H=57, L=94]
Item-Item3D-70: [W=95, H=74, L=61]
Item-Item3D-71: [W=41, H=70, L=91]
Item-Item3D-72: [W=78, H=58, L=67]
Item-Item3D-73: [W=81, H=85, L=19]
Item-Item3D-74: [W=50, H=80, L=80]
Item-Item3D-75: [W=61, H=87, L=96]
Item-Item3D-76: [W=67, H=46, L=71]
Item-Item3D-77: [W=95, H=92, L=43]
Item-Item3D-78: [W=96, H=88, L=29]
Item-Item3D-79: [W=52, H=91, L=56]
Item-Item3D-80: [W=72, H=94, L=73]
Item-Item3D-81: [W=62, H=82, L=61]
Item-Item3D-82: [W=97, H=37, L=71]
Item-Item3D-83: [W=62, H=52, L=58]
Item-Item3D-84: [W=63, H=72, L=74]
Item-Item3D-85: [W=69, H=64, L=53]
Item-Item3D-86: [W=75, H=70, L=16]
Item-Item3D-87: [W=81, H=36, L=66]
Item-Item3D-88: [W=91, H=84, L=1]
Item-Item3D-89: [W=88, H=3, L=93]
Item-Item3D-90: [W=54, H=67, L=60]
Item-Item3D-91: [W=67, H=52, L=82]
Item-Item3D-92: [W=47, H=95, L=83]
Item-Item3D-93: [W=95, H=31, L=80]
Item-Item3D-94: [W=40, H=99, L=81]
Item-Item3D-95: [W=61, H=69, L=97]
Item-Item3D-96: [W=83, H=85, L=76]
Item-Item3D-97: [W=78, H=93, L=77]
Item-Item3D-98: [W=46, H=15, L=33]
Item-Item3D-99: [W=8, H=67, L=83]
Item-Item3D-100: [W=47, H=31, L=4]
Item-Item3D-101: [W=96, H=73, L=3]
Item-Item3D-102: [W=63, H=94, L=60]
Item-Item3D-103: [W=74, H=51, L=60]
Item-Item3D-104: [W=80, H=66, L=56]
Item-Item3D-105: [W=86, H=89, L=58]
Item-Item3D-106: [W=7, H=79, L=96]
Item-Item3D-107: [W=100, H=58, L=76]
Item-Item3D-108: [W=37, H=74, L=75]
Item-Item3D-109: [W=74, H=94, L=85]
Item-Item3D-110: [W=6, H=9, L=23]
Item-Item3D-111: [W=96, H=100, L=53]
Item-Item3D-112: [W=66, H=71, L=60]
Item-Item3D-113: [W=75, H=66, L=40]
Item-Item3D-114: [W=89, H=85, L=81]
Item-Item3D-115: [W=83, H=80, L=97]
Item-Item3D-116: [W=99, H=98, L=56]
Item-Item3D-117: [W=55, H=52, L=59]
Item-Item3D-118: [W=74, H=75, L=55]
Item-Item3D-119: [W=95, H=89, L=99]
Item-Item3D-120: [W=69, H=58, L=90]
Item-Item3D-121: [W=87, H=67, L=76]
Item-Item3D-122: [W=74, H=85, L=69]
Item-Item3D-123: [W=73, H=83, L=80]
Item-Item3D-124: [W=58, H=63, L=75]
Item-Item3D-125: [W=92, H=80, L=84]
Item-Item3D-126: [W=97, H=99, L=47]
Item-Item3D-127: [W=85, H=74, L=41]
Item-Item3D-128: [W=51, H=67, L=75]
Item-Item3D-129: [W=31, H=77, L=94]
Item-Item3D-130: [W=50, H=78, L=80]
Item-Item3D-131: [W=87, H=84, L=34]
Item-Item3D-132: [W=11, H=45, L=13]
Item-Item3D-133: [W=77, H=73, L=87]
Item-Item3D-134: [W=62, H=74, L=56]
Item-Item3D-135: [W=57, H=80, L=95]
Item-Item3D-136: [W=92, H=74, L=72]
Item-Item3D-137: [W=18, H=39, L=3]
Item-Item3D-138: [W=53, H=80, L=57]
Item-Item3D-139: [W=81, H=51, L=74]
Item-Item3D-140: [W=99, H=72, L=17]
Item-Item3D-141: [W=49, H=77, L=81]
Item-Item3D-142: [W=86, H=72, L=99]
Item-Item3D-143: [W=72, H=22, L=87]
Item-Item3D-144: [W=64, H=98, L=60]
Item-Item3D-145: [W=100, H=88, L=79]
Item-Item3D-146: [W=80, H=53, L=63]
Item-Item3D-147: [W=86, H=46, L=88]
Item-Item3D-148: [W=96, H=73, L=42]
Item-Item3D-149: [W=30, H=100, L=73]
Item-Item3D-150: [W=59, H=92, L=63]
Item-Item3D-151: [W=58, H=79, L=71]
Item-Item3D-152: [W=76, H=86, L=57]
Item-Item3D-153: [W=9, H=87, L=80]
Item-Item3D-154: [W=91, H=92, L=89]
Item-Item3D-155: [W=99, H=4, L=68]
Item-Item3D-156: [W=82, H=59, L=79]
Item-Item3D-157: [W=87, H=100, L=97]
Item-Item3D-158: [W=88, H=88, L=36]
Item-Item3D-159: [W=86, H=75, L=80]
Item-Item3D-160: [W=69, H=98, L=75]
Item-Item3D-161: [W=76, H=66, L=39]
Item-Item3D-162: [W=62, H=99, L=87]
Item-Item3D-163: [W=51, H=50, L=75]
Item-Item3D-164: [W=98, H=77, L=51]
Item-Item3D-165: [W=30, H=29, L=49]
Item-Item3D-166: [W=30, H=81, L=97]
Item-Item3D-167: [W=66, H=73, L=72]
Item-Item3D-168: [W=59, H=98, L=96]
Item-Item3D-169: [W=78, H=67, L=25]
Item-Item3D-170: [W=71, H=66, L=77]
Item-Item3D-171: [W=71, H=55, L=89]
Item-Item3D-172: [W=86, H=79, L=68]
Item-Item3D-173: [W=49, H=77, L=85]
Item-Item3D-174: [W=66, H=61, L=52]
Item-Item3D-175: [W=73, H=100, L=95]
Item-Item3D-176: [W=84, H=89, L=26]
Item-Item3D-177: [W=80, H=95, L=79]
Item-Item3D-178: [W=32, H=98, L=82]
Item-Item3D-179: [W=95, H=10, L=75]
Item-Item3D-180: [W=94, H=33, L=100]
Item-Item3D-181: [W=66, H=89, L=82]
Item-Item3D-182: [W=73, H=91, L=17]
Item-Item3D-183: [W=98, H=80, L=86]
Item-Item3D-184: [W=89, H=82, L=27]
Item-Item3D-185: [W=95, H=92, L=75]
Item-Item3D-186: [W=84, H=96, L=93]
Item-Item3D-187: [W=63, H=80, L=79]
Item-Item3D-188: [W=80, H=4, L=73]
Item-Item3D-189: [W=69, H=92, L=71]
Item-Item3D-190: [W=90, H=91, L=68]
Item-Item3D-191: [W=5, H=2, L=44]
Item-Item3D-192: [W=64, H=90, L=85]
Item-Item3D-193: [W=66, H=71, L=76]
Item-Item3D-194: [W=97, H=34, L=82]
Item-Item3D-195: [W=66, H=69, L=63]
Item-Item3D-196: [W=56, H=74, L=92]
Item-Item3D-197: [W=38, H=70, L=80]
Item-Item3D-198: [W=90, H=11, L=93]
Item-Item3D-199: [W=27, H=23, L=19]
Item-Item3D-200: [W=97, H=68, L=87]

Test 5 (Type 4, n=200)
Item-Item3D-1: [W=55, H=77, L=63]
Item-Item3D-2: [W=93, H=83, L=84]
Item-Item3D-3: [W=74, H=100, L=85]
Item-Item3D-4: [W=39, H=27, L=24]
Item-Item3D-5: [W=68, H=66, L=44]
Item-Item3D-6: [W=83, H=73, L=45]
Item-Item3D-7: [W=50, H=53, L=67]
Item-Item3D-8: [W=94, H=56, L=61]
Item-Item3D-9: [W=74, H=53, L=83]
Item-Item3D-10: [W=78, H=28, L=80]
Item-Item3D-11: [W=50, H=62, L=69]
Item-Item3D-12: [W=84, H=66, L=64]
Item-Item3D-13: [W=56, H=81, L=56]
Item-Item3D-14: [W=71, H=9, L=80]
Item-Item3D-15: [W=83, H=32, L=86]
Item-Item3D-16: [W=90, H=69, L=61]
Item-Item3D-17: [W=91, H=76, L=70]
Item-Item3D-18: [W=86, H=85, L=84]
Item-Item3D-19: [W=75, H=89, L=72]
Item-Item3D-20: [W=58, H=87, L=88]
Item-Item3D-21: [W=98, H=67, L=70]
Item-Item3D-22: [W=10, H=22, L=10]
Item-Item3D-23: [W=16, H=96, L=89]
Item-Item3D-24: [W=68, H=71, L=59]
Item-Item3D-25: [W=53, H=55, L=83]
Item-Item3D-26: [W=29, H=7, L=40]
Item-Item3D-27: [W=78, H=94, L=55]
Item-Item3D-28: [W=15, H=6, L=45]
Item-Item3D-29: [W=79, H=99, L=100]
Item-Item3D-30: [W=86, H=61, L=67]
Item-Item3D-31: [W=41, H=10, L=35]
Item-Item3D-32: [W=62, H=68, L=56]
Item-Item3D-33: [W=70, H=90, L=89]
Item-Item3D-34: [W=72, H=78, L=97]
Item-Item3D-35: [W=42, H=96, L=75]
Item-Item3D-36: [W=59, H=89, L=82]
Item-Item3D-37: [W=72, H=57, L=59]
Item-Item3D-38: [W=33, H=91, L=73]
Item-Item3D-39: [W=62, H=80, L=97]
Item-Item3D-40: [W=100, H=71, L=63]
Item-Item3D-41: [W=61, H=73, L=57]
Item-Item3D-42: [W=73, H=60, L=53]
Item-Item3D-43: [W=91, H=57, L=98]
Item-Item3D-44: [W=71, H=11, L=79]
Item-Item3D-45: [W=98, H=71, L=70]
Item-Item3D-46: [W=84, H=41, L=84]
Item-Item3D-47: [W=63, H=87, L=50]
Item-Item3D-48: [W=59, H=55, L=77]
Item-Item3D-49: [W=88, H=65, L=73]
Item-Item3D-50: [W=25, H=77, L=86]
Item-Item3D-51: [W=75, H=90, L=58]
Item-Item3D-52: [W=11, H=49, L=6]
Item-Item3D-53: [W=9, H=77, L=70]
Item-Item3D-54: [W=97, H=67, L=57]
Item-Item3D-55: [W=63, H=65, L=94]
Item-Item3D-56: [W=22, H=69, L=90]
Item-Item3D-57: [W=73, H=1, L=85]
Item-Item3D-58: [W=99, H=33, L=68]
Item-Item3D-59: [W=78, H=15, L=87]
Item-Item3D-60: [W=11, H=9, L=29]
Item-Item3D-61: [W=94, H=17, L=81]
Item-Item3D-62: [W=54, H=71, L=77]
Item-Item3D-63: [W=78, H=92, L=2]
Item-Item3D-64: [W=98, H=83, L=1]
Item-Item3D-65: [W=52, H=81, L=97]
Item-Item3D-66: [W=66, H=85, L=3]
Item-Item3D-67: [W=94, H=79, L=93]
Item-Item3D-68: [W=57, H=79, L=70]
Item-Item3D-69: [W=91, H=72, L=36]
Item-Item3D-70: [W=54, H=89, L=88]
Item-Item3D-71: [W=97, H=56, L=75]
Item-Item3D-72: [W=79, H=58, L=72]
Item-Item3D-73: [W=74, H=85, L=66]
Item-Item3D-74: [W=3, H=81, L=80]
Item-Item3D-75: [W=97, H=91, L=55]
Item-Item3D-76: [W=42, H=7, L=50]
Item-Item3D-77: [W=67, H=95, L=65]
Item-Item3D-78: [W=39, H=46, L=10]
Item-Item3D-79: [W=66, H=96, L=65]
Item-Item3D-80: [W=77, H=51, L=52]
Item-Item3D-81: [W=65, H=98, L=71]
Item-Item3D-82: [W=25, H=18, L=29]
Item-Item3D-83: [W=11, H=77, L=68]
Item-Item3D-84: [W=96, H=89, L=80]
Item-Item3D-85: [W=88, H=78, L=9]
Item-Item3D-86: [W=86, H=88, L=84]
Item-Item3D-87: [W=97, H=87, L=59]
Item-Item3D-88: [W=39, H=35, L=41]
Item-Item3D-89: [W=99, H=15, L=91]
Item-Item3D-90: [W=97, H=71, L=14]
Item-Item3D-91: [W=99, H=75, L=89]
Item-Item3D-92: [W=63, H=79, L=65]
Item-Item3D-93: [W=73, H=73, L=66]
Item-Item3D-94: [W=80, H=55, L=75]
Item-Item3D-95: [W=60, H=53, L=93]
Item-Item3D-96: [W=92, H=98, L=97]
Item-Item3D-97: [W=94, H=100, L=84]
Item-Item3D-98: [W=69, H=85, L=99]
Item-Item3D-99: [W=96, H=94, L=92]
Item-Item3D-100: [W=32, H=67, L=100]
Item-Item3D-101: [W=78, H=74, L=68]
Item-Item3D-102: [W=68, H=89, L=47]
Item-Item3D-103: [W=9, H=92, L=87]
Item-Item3D-104: [W=57, H=85, L=68]
Item-Item3D-105: [W=62, H=92, L=66]
Item-Item3D-106: [W=89, H=82, L=94]
Item-Item3D-107: [W=55, H=53, L=76]
Item-Item3D-108: [W=59, H=87, L=56]
Item-Item3D-109: [W=60, H=59, L=85]
Item-Item3D-110: [W=34, H=23, L=49]
Item-Item3D-111: [W=89, H=68, L=60]
Item-Item3D-112: [W=91, H=96, L=100]
Item-Item3D-113: [W=89, H=97, L=97]
Item-Item3D-114: [W=95, H=52, L=71]
Item-Item3D-115: [W=54, H=97, L=84]
Item-Item3D-116: [W=65, H=57, L=96]
Item-Item3D-117: [W=84, H=66, L=71]
Item-Item3D-118: [W=85, H=46, L=72]
Item-Item3D-119: [W=96, H=71, L=20]
Item-Item3D-120: [W=35, H=44, L=9]
Item-Item3D-121: [W=97, H=51, L=80]
Item-Item3D-122: [W=41, H=69, L=74]
Item-Item3D-123: [W=91, H=69, L=83]
Item-Item3D-124: [W=49, H=86, L=71]
Item-Item3D-125: [W=53, H=53, L=88]
Item-Item3D-126: [W=51, H=66, L=58]
Item-Item3D-127: [W=42, H=48, L=12]
Item-Item3D-128: [W=87, H=85, L=39]
Item-Item3D-129: [W=31, H=41, L=40]
Item-Item3D-130: [W=70, H=71, L=86]
Item-Item3D-131: [W=75, H=83, L=8]
Item-Item3D-132: [W=58, H=93, L=100]
Item-Item3D-133: [W=97, H=73, L=61]
Item-Item3D-134: [W=62, H=59, L=57]
Item-Item3D-135: [W=96, H=98, L=31]
Item-Item3D-136: [W=84, H=66, L=90]
Item-Item3D-137: [W=55, H=96, L=92]
Item-Item3D-138: [W=84, H=69, L=65]
Item-Item3D-139: [W=35, H=71, L=94]
Item-Item3D-140: [W=100, H=91, L=53]
Item-Item3D-141: [W=80, H=76, L=50]
Item-Item3D-142: [W=86, H=78, L=58]
Item-Item3D-143: [W=91, H=5, L=91]
Item-Item3D-144: [W=87, H=100, L=96]
Item-Item3D-145: [W=55, H=84, L=80]
Item-Item3D-146: [W=78, H=29, L=82]
Item-Item3D-147: [W=72, H=78, L=77]
Item-Item3D-148: [W=25, H=39, L=37]
Item-Item3D-149: [W=12, H=86, L=93]
Item-Item3D-150: [W=72, H=52, L=62]
Item-Item3D-151: [W=52, H=59, L=63]
Item-Item3D-152: [W=80, H=57, L=60]
Item-Item3D-153: [W=47, H=73, L=88]
Item-Item3D-154: [W=57, H=50, L=69]
Item-Item3D-155: [W=75, H=72, L=50]
Item-Item3D-156: [W=51, H=87, L=81]
Item-Item3D-157: [W=72, H=63, L=55]
Item-Item3D-158: [W=86, H=68, L=4]
Item-Item3D-159: [W=72, H=52, L=80]
Item-Item3D-160: [W=84, H=52, L=91]
Item-Item3D-161: [W=66, H=89, L=56]
Item-Item3D-162: [W=1, H=95, L=75]
Item-Item3D-163: [W=65, H=98, L=62]
Item-Item3D-164: [W=92, H=28, L=99]
Item-Item3D-165: [W=13, H=76, L=71]
Item-Item3D-166: [W=89, H=100, L=74]
Item-Item3D-167: [W=87, H=61, L=94]
Item-Item3D-168: [W=99, H=69, L=60]
Item-Item3D-169: [W=22, H=97, L=73]
Item-Item3D-170: [W=60, H=55, L=61]
Item-Item3D-171: [W=92, H=85, L=50]
Item-Item3D-172: [W=72, H=83, L=97]
Item-Item3D-173: [W=74, H=99, L=2]
Item-Item3D-174: [W=70, H=77, L=72]
Item-Item3D-175: [W=91, H=56, L=84]
Item-Item3D-176: [W=24, H=98, L=86]
Item-Item3D-177: [W=67, H=51, L=65]
Item-Item3D-178: [W=51, H=90, L=57]
Item-Item3D-179: [W=75, H=83, L=64]
Item-Item3D-180: [W=60, H=72, L=95]
Item-Item3D-181: [W=48, H=97, L=80]
Item-Item3D-182: [W=42, H=66, L=78]
Item-Item3D-183: [W=10, H=96, L=88]
Item-Item3D-184: [W=97, H=80, L=95]
Item-Item3D-185: [W=73, H=84, L=92]
Item-Item3D-186: [W=92, H=72, L=8]
Item-Item3D-187: [W=66, H=73, L=95]
Item-Item3D-188: [W=81, H=63, L=51]
Item-Item3D-189: [W=98, H=91, L=82]
Item-Item3D-190: [W=64, H=64, L=98]
Item-Item3D-191: [W=40, H=22, L=2]
Item-Item3D-192: [W=76, H=56, L=87]
Item-Item3D-193: [W=88, H=65, L=79]
Item-Item3D-194: [W=19, H=30, L=14]
Item-Item3D-195: [W=43, H=34, L=30]
Item-Item3D-196: [W=20, H=44, L=18]
Item-Item3D-197: [W=55, H=52, L=55]
Item-Item3D-198: [W=67, H=77, L=32]
Item-Item3D-199: [W=93, H=87, L=62]
Item-Item3D-200: [W=56, H=65, L=58]

Test 6 (Type 4, n=200)
Item-Item3D-1: [W=65, H=83, L=95]
Item-Item3D-2: [W=25, H=84, L=82]
Item-Item3D-3: [W=100, H=93, L=13]
Item-Item3D-4: [W=51, H=80, L=67]
Item-Item3D-5: [W=75, H=88, L=98]
Item-Item3D-6: [W=68, H=89, L=66]
Item-Item3D-7: [W=91, H=66, L=96]
Item-Item3D-8: [W=57, H=55, L=64]
Item-Item3D-9: [W=2, H=29, L=28]
Item-Item3D-10: [W=42, H=91, L=95]
Item-Item3D-11: [W=88, H=67, L=61]
Item-Item3D-12: [W=58, H=53, L=67]
Item-Item3D-13: [W=70, H=61, L=60]
Item-Item3D-14: [W=87, H=58, L=59]
Item-Item3D-15: [W=72, H=73, L=68]
Item-Item3D-16: [W=60, H=65, L=66]
Item-Item3D-17: [W=73, H=30, L=81]
Item-Item3D-18: [W=80, H=66, L=63]
Item-Item3D-19: [W=63, H=76, L=70]
Item-Item3D-20: [W=40, H=13, L=17]
Item-Item3D-21: [W=58, H=85, L=51]
Item-Item3D-22: [W=59, H=66, L=91]
Item-Item3D-23: [W=76, H=51, L=77]
Item-Item3D-24: [W=66, H=70, L=97]
Item-Item3D-25: [W=98, H=89, L=94]
Item-Item3D-26: [W=75, H=68, L=73]
Item-Item3D-27: [W=97, H=92, L=70]
Item-Item3D-28: [W=74, H=60, L=65]
Item-Item3D-29: [W=51, H=93, L=73]
Item-Item3D-30: [W=67, H=87, L=60]
Item-Item3D-31: [W=54, H=89, L=64]
Item-Item3D-32: [W=46, H=83, L=88]
Item-Item3D-33: [W=1, H=73, L=69]
Item-Item3D-34: [W=51, H=92, L=50]
Item-Item3D-35: [W=61, H=57, L=79]
Item-Item3D-36: [W=89, H=41, L=74]
Item-Item3D-37: [W=81, H=78, L=57]
Item-Item3D-38: [W=67, H=18, L=81]
Item-Item3D-39: [W=17, H=74, L=94]
Item-Item3D-40: [W=80, H=73, L=55]
Item-Item3D-41: [W=56, H=80, L=96]
Item-Item3D-42: [W=54, H=67, L=51]
Item-Item3D-43: [W=82, H=65, L=84]
Item-Item3D-44: [W=50, H=51, L=54]
Item-Item3D-45: [W=84, H=75, L=86]
Item-Item3D-46: [W=14, H=28, L=47]
Item-Item3D-47: [W=88, H=60, L=59]
Item-Item3D-48: [W=62, H=91, L=63]
Item-Item3D-49: [W=98, H=69, L=80]
Item-Item3D-50: [W=85, H=73, L=17]
Item-Item3D-51: [W=70, H=67, L=99]
Item-Item3D-52: [W=36, H=91, L=97]
Item-Item3D-53: [W=87, H=92, L=52]
Item-Item3D-54: [W=94, H=78, L=80]
Item-Item3D-55: [W=46, H=46, L=17]
Item-Item3D-56: [W=2, H=4, L=28]
Item-Item3D-57: [W=90, H=80, L=75]
Item-Item3D-58: [W=66, H=93, L=95]
Item-Item3D-59: [W=87, H=95, L=77]
Item-Item3D-60: [W=53, H=54, L=90]
Item-Item3D-61: [W=68, H=83, L=22]
Item-Item3D-62: [W=71, H=3, L=71]
Item-Item3D-63: [W=64, H=57, L=96]
Item-Item3D-64: [W=45, H=39, L=4]
Item-Item3D-65: [W=2, H=67, L=90]
Item-Item3D-66: [W=87, H=71, L=50]
Item-Item3D-67: [W=15, H=67, L=74]
Item-Item3D-68: [W=50, H=86, L=77]
Item-Item3D-69: [W=58, H=89, L=82]
Item-Item3D-70: [W=16, H=17, L=9]
Item-Item3D-71: [W=87, H=76, L=58]
Item-Item3D-72: [W=70, H=94, L=60]
Item-Item3D-73: [W=42, H=81, L=78]
Item-Item3D-74: [W=51, H=72, L=75]
Item-Item3D-75: [W=95, H=50, L=97]
Item-Item3D-76: [W=94, H=34, L=90]
Item-Item3D-77: [W=89, H=68, L=69]
Item-Item3D-78: [W=91, H=73, L=75]
Item-Item3D-79: [W=79, H=55, L=54]
Item-Item3D-80: [W=89, H=99, L=10]
Item-Item3D-81: [W=55, H=61, L=74]
Item-Item3D-82: [W=81, H=22, L=88]
Item-Item3D-83: [W=66, H=49, L=69]
Item-Item3D-84: [W=75, H=63, L=80]
Item-Item3D-85: [W=76, H=88, L=19]
Item-Item3D-86: [W=55, H=68, L=52]
Item-Item3D-87: [W=98, H=69, L=74]
Item-Item3D-88: [W=98, H=14, L=95]
Item-Item3D-89: [W=42, H=72, L=89]
Item-Item3D-90: [W=81, H=56, L=53]
Item-Item3D-91: [W=90, H=69, L=66]
Item-Item3D-92: [W=61, H=71, L=73]
Item-Item3D-93: [W=13, H=88, L=82]
Item-Item3D-94: [W=99, H=78, L=61]
Item-Item3D-95: [W=68, H=77, L=100]
Item-Item3D-96: [W=68, H=78, L=34]
Item-Item3D-97: [W=82, H=92, L=99]
Item-Item3D-98: [W=59, H=59, L=63]
Item-Item3D-99: [W=73, H=81, L=73]
Item-Item3D-100: [W=62, H=70, L=72]
Item-Item3D-101: [W=94, H=75, L=60]
Item-Item3D-102: [W=84, H=97, L=91]
Item-Item3D-103: [W=89, H=74, L=94]
Item-Item3D-104: [W=55, H=59, L=78]
Item-Item3D-105: [W=80, H=39, L=85]
Item-Item3D-106: [W=86, H=80, L=71]
Item-Item3D-107: [W=87, H=87, L=78]
Item-Item3D-108: [W=63, H=74, L=97]
Item-Item3D-109: [W=94, H=61, L=61]
Item-Item3D-110: [W=60, H=84, L=66]
Item-Item3D-111: [W=62, H=50, L=76]
Item-Item3D-112: [W=96, H=92, L=93]
Item-Item3D-113: [W=88, H=65, L=71]
Item-Item3D-114: [W=94, H=55, L=56]
Item-Item3D-115: [W=56, H=81, L=89]
Item-Item3D-116: [W=35, H=13, L=40]
Item-Item3D-117: [W=87, H=50, L=80]
Item-Item3D-118: [W=91, H=19, L=86]
Item-Item3D-119: [W=49, H=89, L=92]
Item-Item3D-120: [W=26, H=21, L=42]
Item-Item3D-121: [W=28, H=76, L=76]
Item-Item3D-122: [W=94, H=75, L=23]
